NODOS:
0: OSMID=154748959, Lon=-3.9173094, Lat=38.9751792
1: OSMID=794373754, Lon=-3.917148, Lat=38.9754695
2: OSMID=1778331442, Lon=-3.9153233, Lat=38.9747837
3: OSMID=154748998, Lon=-3.9123903, Lat=38.9738828
4: OSMID=161847994, Lon=-3.9123397, Lat=38.9736895
6: OSMID=161848695, Lon=-3.9013986, Lat=38.991253
7: OSMID=161848688, Lon=-3.9012686, Lat=38.9888943
8: OSMID=161845842, Lon=-3.9285589, Lat=38.9627658
9: OSMID=1568149113, Lon=-3.9229881, Lat=38.9626131
10: OSMID=161847213, Lon=-3.9274372, Lat=38.9630401
11: OSMID=998548054, Lon=-3.9525738, Lat=38.9569564
12: OSMID=161847343, Lon=-3.9075212, Lat=38.9796374
13: OSMID=161847543, Lon=-3.9125182, Lat=38.9695461
14: OSMID=161847702, Lon=-3.8909749, Lat=38.9835646
15: OSMID=161848440, Lon=-3.8965509, Lat=38.9836876
16: OSMID=998546765, Lon=-3.9111838, Lat=38.9733517
17: OSMID=161848014, Lon=-3.9108973, Lat=38.9742143
18: OSMID=161848281, Lon=-3.910309, Lat=38.9758222
19: OSMID=795655707, Lon=-3.9120386, Lat=38.9744099
20: OSMID=161848077, Lon=-3.9122541, Lat=38.9742452
22: OSMID=161848131, Lon=-3.9172991, Lat=38.9756131
23: OSMID=794373755, Lon=-3.9176675, Lat=38.9755735
26: OSMID=161848157, Lon=-3.9175169, Lat=38.9771495
27: OSMID=2687227331, Lon=-3.91759, Lat=38.9785075
29: OSMID=161848214, Lon=-3.9263933, Lat=38.9730653
30: OSMID=818781036, Lon=-3.9258099, Lat=38.9716694
32: OSMID=161848234, Lon=-3.9203685, Lat=38.9725158
33: OSMID=1778319302, Lon=-3.920773, Lat=38.972754
34: OSMID=1778319336, Lon=-3.9219892, Lat=38.9708481
35: OSMID=161848263, Lon=-3.9239166, Lat=38.9668455
36: OSMID=818781409, Lon=-3.9236754, Lat=38.9661916
37: OSMID=7418963085, Lon=-3.9240899, Lat=38.9674129
39: OSMID=161848414, Lon=-3.8984704, Lat=38.9824442
40: OSMID=998546298, Lon=-3.9064766, Lat=38.9797952
41: OSMID=998545021, Lon=-3.901926, Lat=38.9873813
42: OSMID=161848471, Lon=-3.9076296, Lat=38.9800182
43: OSMID=998548653, Lon=-3.9110435, Lat=38.976274
44: OSMID=161848476, Lon=-3.9019475, Lat=38.987603
45: OSMID=161848483, Lon=-3.903229, Lat=38.9842275
46: OSMID=161848615, Lon=-3.8988948, Lat=38.9916279
47: OSMID=4080501066, Lon=-3.8973453, Lat=38.9923951
48: OSMID=161848647, Lon=-3.89449, Lat=38.9932325
49: OSMID=3840884868, Lon=-3.893019, Lat=38.9936532
50: OSMID=161848731, Lon=-3.8976576, Lat=38.9913398
52: OSMID=162036351, Lon=-3.9291405, Lat=38.9799944
53: OSMID=506826668, Lon=-3.9294356, Lat=38.9800828
55: OSMID=801797099, Lon=-3.9277576, Lat=38.9788294
59: OSMID=162036478, Lon=-3.9340844, Lat=38.986868
60: OSMID=806369127, Lon=-3.9336067, Lat=38.9865726
62: OSMID=162036484, Lon=-3.9342357, Lat=38.9853929
63: OSMID=806368928, Lon=-3.9342271, Lat=38.9856915
65: OSMID=255139471, Lon=-3.95332, Lat=38.96046
66: OSMID=4080455191, Lon=-3.9519366, Lat=38.9618501
67: OSMID=996922761, Lon=-3.9635778, Lat=38.9633201
68: OSMID=996922634, Lon=-3.9562331, Lat=38.9575957
69: OSMID=255139619, Lon=-3.9564191, Lat=38.9566999
71: OSMID=255139835, Lon=-3.9434201, Lat=38.97055
72: OSMID=824372815, Lon=-3.942932, Lat=38.9710389
73: OSMID=4080455240, Lon=-3.9454912, Lat=38.9684106
74: OSMID=824372791, Lon=-3.9449758, Lat=38.9713998
75: OSMID=255139879, Lon=-3.9284107, Lat=38.9948193
76: OSMID=1672258619, Lon=-3.9281853, Lat=38.9953906
77: OSMID=764039196, Lon=-3.9278451, Lat=38.9946861
78: OSMID=255139922, Lon=-3.9401795, Lat=38.9738115
79: OSMID=255140029, Lon=-3.9399782, Lat=38.974016
80: OSMID=824372979, Lon=-3.9406922, Lat=38.9741223
81: OSMID=2689863163, Lon=-3.9392245, Lat=38.9743976
84: OSMID=998842891, Lon=-3.9573306, Lat=38.9571983
85: OSMID=161847960, Lon=-3.9608977, Lat=38.9538471
86: OSMID=998842938, Lon=-3.9567051, Lat=38.9563839
87: OSMID=368287354, Lon=-3.899487, Lat=39.012561
88: OSMID=1268097324, Lon=-3.9184062, Lat=38.996069
